Movie,Recommendation
The Shawshank Redemption,The Green Mile
The Shawshank Redemption,Schindler's List
Inception,Interstellar
Inception,The Matrix
Interstellar,Gravity
The Matrix,Minority Report
Titanic,The Notebook
Titanic,A Walk to Remember
Avatar,Avengers: Endgame
Avatar,Guardians of the Galaxy
The Dark Knight,Batman Begins
The Dark Knight,Joker
Gladiator,Braveheart
Forrest Gump,The Curious Case of Benjamin Button
The Godfather,Goodfellas
The Godfather,The Irishman
Fight Club,Se7en
Fight Club,American Psycho
Pulp Fiction,Reservoir Dogs
Pulp Fiction,The Hateful Eight
